Município;Ano
Dom Pedro (MA);23579
Duque Bacelar (MA);10448
Esperantinópolis (MA);18725
Estreito (MA);34353
Feira Nova do Maranhão (MA);8236
Fernando Falcão (MA);11184
Formosa da Serra Negra (MA);18133
Fortaleza dos Nogueiras (MA);12951
Fortuna (MA);17346
Godofredo Viana (MA);10422
Gonçalves Dias (MA);17579
Governador Archer (MA);10472
Governador Edison Lobão (MA);18908
Governador Eugênio Barros (MA);14258
Governador Luiz Rocha (MA);7219
Governador Newton Bello (MA);10981
Governador Nunes Freire (MA);23563
Graça Aranha (MA);6161
Grajaú (MA);76578
Guimarães (MA);10470
Humberto de Campos (MA);26546
Icatu (MA);25332
Igarapé do Meio (MA);14350
Igarapé Grande (MA);10463
Imperatriz (MA);285146
Itaipava do Grajaú (MA);14143
Itapecuru Mirim (MA);62269
Itinga do Maranhão (MA);22934
Jatobá (MA);7610
Jenipapo dos Vieiras (MA);17499
João Lisboa (MA);25287
Joselândia (MA);15235
Junco do Maranhão (MA);5275
Lago da Pedra (MA);45875
Lago do Junco (MA);9700
Lago Verde (MA);15077
Lagoa do Mato (MA);10809
Lago dos Rodrigues (MA);8961
Lagoa Grande do Maranhão (MA);11710
Lajeado Novo (MA);7227
Lima Campos (MA);11558
Loreto (MA);11876
Luís Domingues (MA);7351
Magalhães de Almeida (MA);14001
Maracaçumé (MA);21686
Marajá do Sena (MA);7165
Maranhãozinho (MA);14086
Mata Roma (MA);17537
Matinha (MA);22530
Matões (MA);33300
Matões do Norte (MA);17945
Milagres do Maranhão (MA);9048
Mirador (MA);21518
Miranda do Norte (MA);24377
Mirinzal (MA);14297
Monção (MA);28606
Montes Altos (MA);9309
Morros (MA);18994
Nina Rodrigues (MA);14551
Nova Colinas (MA);5144
Nova Iorque (MA);4412
Nova Olinda do Maranhão (MA);14468
Olho d'Água das Cunhãs (MA);18295
Olinda Nova do Maranhão (MA);13909
Paço do Lumiar (MA);152306
Palmeirândia (MA);21606
Paraibano (MA);18619
Parnarama (MA);32256
Passagem Franca (MA);17592
Pastos Bons (MA);19246
Paulino Neves (MA);17523
Paulo Ramos (MA);20792
Pedreiras (MA);38267
Pedro do Rosário (MA);24917
Penalva (MA);33534
Peri Mirim (MA);11277
Peritoró (MA);20910
Pindaré-Mirim (MA);32521
Pinheiro (MA);87919
Pio XII (MA);22369
Pirapemas (MA);18120
Poção de Pedras (MA);17444
Porto Franco (MA);24517
Porto Rico do Maranhão (MA);6091
Presidente Dutra (MA);46578
Presidente Juscelino (MA);11616
Presidente Médici (MA);4748
Presidente Sarney (MA);17913
Presidente Vargas (MA);10791
Primeira Cruz (MA);13922
Raposa (MA);32054
Riachão (MA);22699
Ribamar Fiquene (MA);7597
Rosário (MA);39763
Sambaíba (MA);5701
Santa Filomena do Maranhão (MA);6839
Santa Helena (MA);43112
Santa Inês (MA);88167
Santa Luzia (MA);59037
Santa Luzia do Paruá (MA);24870
Santa Quitéria do Maranhão (MA);24489
Santa Rita (MA);38446
Santana do Maranhão (MA);10777
Santo Amaro do Maranhão (MA);14280
Santo Antônio dos Lopes (MA);14623
São Benedito do Rio Preto (MA);18793
São Bento (MA);48036
São Bernardo (MA);27887
São Domingos do Azeitão (MA);8213
São Domingos do Maranhão (MA);35221
